alpha[deg],U[V]
# 90 deg beim ersten Filter
# zur normalisierung durch u_max teilen
0, 1.18
5,1.54
10,1.87
15,2.22
20,2.53
25,2.87
30,3.19
35,3.44
40,3.64
45,3.77
50,3.87
55,3.89
60,3.88
65,3.80
70,3.68
75,3.43
80,3.21
85,2.96
90,2.69
95,2.3
100,2.05
105,1.6
110,1.38
115,0.97
120,0.72
125,0.51
130,0.32
135,0.15
140,0.04
145,0.00
150,0.02
155,0.08
160,0.22
165,0.40
170,0.66
175,0.91
180,1.21
