alpha[deg],U[V]
# offset 45 deg
180,0.13
185,0.13
190,0.12
195,0.12
200,0.124
205,0.125
210,0.129
215,0.131
220,0.135
225,0.141
230,0.147
235,0.154
240,0.161
245,0.167
250,0.174
255,0.181
260,0.185
265,0.191
270,0.194
275,0.197
280,0.198
285,0.199
290,0.199
295,0.197
300,0.194
305,0.191
310,0.185
315,0.180
320,0.174
325,0.169
330,0.161
335,0.153
340,0.147
345,0.141
350,0.136
355,0.131
360,0.127
