alpha[deg],U[V]
0,0.74
5,0.93
10,1.08
15,1.27
20,1.41
25,1.58
30,1.71
35,1.84
40,1.96
45,2.05
50,2.1
55,2.11
60,2.11
65,2.08
70,2.02
75,1.92
80,1.81
85,1.66
90,1.52
95,1.35
100,1.19
105,0.99
110,0.82
115,0.68
120,0.53
125,0.39
130,0.28
135,0.19
140,0.15
145,0.13
150,0.14
155,0.17
160,0.24
165,0.35
170,0.46
175,0.56
180,0.71
