alpha[deg],U[V]
# 52-55 muM
0,0.150
5,0.167
10,0.1901
15,0.2143
20,0.2423
25,0.2637
30,0.2812
35,0.2961
40,0.3073
45,0.3156
50,0.3184
55,0.3186
60,0.3125
65,0.3025
70,0.2887
75,0.2721
80,0.2536
85,0.2311
90,0.2064
95,0.1798
100,0.1562
105,0.1307
110,0.1098
115,0.0882
120,0.0728
125,0.0556
130,0.0445
135,0.0365
140,0.0334
145,0.0344
150,0.0388
155,0.0493
160,0.0646
165,0.0795
170,0.0967
175,0.1197
180,0.1441
