t[s],U_A,U_B
-9.94230093,0.99307230,0.69429610
-9.94096693,0.99307230,0.69734800
-9.93963293,0.99307230,0.69887390
-9.93829893,0.99307230,0.70039980
-9.93696493,0.99307230,0.70345160
-9.93563093,0.99307230,0.70650350
-9.93429693,0.99307230,0.70802940
-9.93296293,0.99307230,0.71108130
-9.93162893,0.99307230,0.71260720
-9.93029493,0.99307230,0.71565900
-9.92896093,0.99307230,0.71718500
-9.92762693,0.99307230,0.71871090
-9.92629293,0.99307230,0.72023680
-9.92495893,0.99307230,0.72328870
-9.92362493,0.99307230,0.72481460
-9.92229093,0.99307230,0.72786640
-9.92095693,0.99307230,0.72939240
-9.91962293,0.99307230,0.73244420
-9.91828893,0.99307230,0.73397020
-9.91695493,0.99307230,0.73854800
-9.91562093,0.99307230,0.74159980
-9.91428693,0.99307230,0.74465160
-9.91295293,0.90212710,0.74617760
-9.91161893,0.70863980,0.74770340
-9.91028493,0.51576280,0.75228120
-9.90895093,0.31983400,0.75380720
-9.90761693,0.12634660,0.75533310
-9.90628293,0.12939850,0.75838500
-9.90494893,0.13489180,0.76296280
-9.90361493,0.13794370,0.76601460
-9.90228093,0.14099550,0.76906650
-9.90094693,0.14343700,0.77364420
-9.89961293,0.14648880,0.77669610
-9.89827893,0.14954070,0.77822200
-9.89694493,0.15198220,0.78127380
-9.89561093,0.15503400,0.78585160
-9.89427693,0.15808590,0.78890350
-9.89294293,0.16052740,0.79195530
-9.89160893,0.16357920,0.79653310
-9.89027493,0.16663110,0.79958500
-9.88894093,0.16907250,0.80263680
-9.88760693,0.16907250,0.80416270
-9.88627293,0.16907250,0.80874050
-9.88493893,0.16907250,0.81179240
-9.88360493,0.16907250,0.81484430
-9.88227093,0.17212440,0.81789610
-9.88093693,0.17517620,0.82247380
-9.87960293,0.17517620,0.82552560
-9.87826893,0.17517620,0.82857750
-9.87693493,0.17517620,0.83315530
-9.87560093,0.17517620,0.83620720
-9.87426693,0.17517620,0.83925900
-9.87293293,0.17517620,0.84383680
-9.87159893,0.17517620,0.84688870
-9.87026493,0.17517620,0.84994050
-9.86893093,0.17517620,0.85299230
-9.86759693,0.17517620,0.85757010
-9.86626293,0.17517620,0.86062200
-9.86492893,0.17517620,0.86367380
-9.86359493,0.17517620,0.86825160
-9.86226093,0.17517620,0.87130340
-9.86092693,0.17517620,0.87435530
-9.85959293,0.17517620,0.87893310
-9.85825893,0.17517620,0.88198490
-9.85692493,0.17517620,0.88503680
