t[s],U_A,U_B
-10.13670158,0.17212440,1.00863700
-10.13536758,0.17212440,1.01168900
-10.13403358,0.17212440,1.01626600
-10.13269958,0.17212440,1.01931800
-10.13136558,0.17212440,1.02237000
-10.13003158,0.17212440,1.02694800
-10.12869758,0.17212440,1.03000000
-10.12736358,0.17212440,1.03305100
-10.12602958,0.17212440,1.03610300
-10.12469558,0.17212440,1.04220700
-10.12336158,0.17365030,1.04678500
-10.12202758,0.17365030,1.05136300
-10.12069358,0.17365030,1.05441500
-10.11935958,0.17365030,1.05594100
-10.11802558,0.17365030,1.06051800
-10.11669158,0.17365030,1.06509600
-10.11535758,0.17365030,1.06814800
-10.11402358,0.17365030,1.07120000
-10.11268958,0.17365030,1.07577800
-10.11135558,0.17365030,1.08035500
-10.11002158,0.17365030,1.08645900
-10.10868758,0.17517620,1.08951100
-10.10735358,0.17517620,1.09256300
-10.10601958,0.17517620,1.09408900
-10.10468558,0.17639700,1.10019200
-10.10335158,0.17792290,1.10171800
-10.10201758,0.17792290,1.10477000
-10.10068358,0.17792290,1.11087400
-10.09934958,0.17792290,1.11545200
-10.09801558,0.17792290,1.12155500
-10.09668158,0.17792290,1.12460700
-10.09534758,0.17792290,1.12918500
-10.09401358,0.17792290,1.13528900
-10.09267958,0.17792290,1.13834000
-10.09134558,0.17792290,1.14139200
-10.09001158,0.17792290,1.14749600
-10.08867758,0.17944880,1.15054800
-10.08734358,0.18066960,1.15360000
-10.08600958,0.18219550,1.15817700
-10.08467558,0.18372140,1.16275500
-10.08334158,0.18372140,1.16580700
-10.08200758,0.18494220,1.17038500
-10.08067358,0.18646810,1.17191100
-10.07933958,0.18799400,1.17648900
-10.07800558,0.18921480,1.18106600
-10.07667158,0.18921480,1.18411800
-10.07533758,0.18921480,1.18717000
-10.07400358,0.18921480,1.19174800
-10.07266958,0.19074070,1.19327400
-10.07133558,0.19074070,1.19785200
-10.07000158,0.19226660,1.20090300
-10.06866758,0.19348730,1.20548100
-10.06733358,0.19348730,1.20853300
-10.06599958,0.19501330,1.21158500
-10.06466558,0.19653920,1.21616300
-10.06333158,0.19775990,1.21921400
-10.06199758,0.19775990,1.22226600
-10.06066358,0.19928590,1.22684400
-10.05932958,0.19928590,1.22989600
-10.05799558,0.19928590,1.23294800
-10.05666158,0.20081180,1.23600000
-10.05532758,0.20081180,1.24057700
-10.05399358,0.20081180,1.24362900
-10.05265958,0.20081180,1.24668100
-10.05132558,0.20203250,1.25125900
-10.04999158,0.20203250,1.25431100
-10.04865758,0.20355850,1.25736300
-10.04732358,0.20508440,1.26194000
-10.04598958,0.20630510,1.26499200
-10.04465558,0.20783110,1.26804400
-10.04332158,0.20935700,1.27109600
-10.04198758,0.21057770,1.27567400
-10.04065358,0.21210360,1.27872600
-10.03931958,0.21210360,1.28177800
-10.03798558,0.21057770,1.28635500
-10.03665158,0.20935700,1.28940700
-10.03531758,0.20935700,1.29245900
-10.03398358,0.21057770,1.29703700
-10.03264958,0.21057770,1.30008800
-10.03131558,0.21057770,1.30314000
-10.02998158,0.21210360,1.30924400
-10.02864758,0.21362960,1.31229600
-10.02731358,0.21485030,1.31534800
-10.02597958,0.21485030,1.31992600
