t[s],U_A,U_B
-10.13670158,0.16815700,-0.00457778
-10.13536758,0.16815700,-0.00457778
-10.13403358,0.16815700,-0.00457778
-10.13269958,0.16815700,-0.00457778
-10.13136558,0.16815700,-0.00457778
-10.13003158,0.16815700,-0.00457778
-10.12869758,0.16815700,-0.00457778
-10.12736358,0.16937770,-0.00457778
-10.12602958,0.16937770,-0.00457778
-10.12469558,0.16937770,-0.00457778
-10.12336158,0.16937770,-0.00457778
-10.12202758,0.16937770,-0.00457778
-10.12069358,0.16937770,-0.00457778
-10.11935958,0.16937770,-0.00457778
-10.11802558,0.16937770,-0.00305185
-10.11669158,0.16937770,-0.00305185
-10.11535758,0.16937770,-0.00305185
-10.11402358,0.16937770,-0.00305185
-10.11268958,0.16937770,-0.00305185
-10.11135558,0.16937770,-0.00305185
-10.11002158,0.16937770,-0.00305185
-10.10868758,0.16937770,-0.00305185
-10.10735358,0.16937770,-0.00305185
-10.10601958,0.16937770,-0.00305185
-10.10468558,0.16937770,-0.00305185
-10.10335158,0.16937770,-0.00305185
-10.10201758,0.16937770,-0.00305185
-10.10068358,0.16937770,-0.00305185
-10.09934958,0.16937770,-0.00305185
-10.09801558,0.16937770,-0.00305185
-10.09668158,0.16937770,-0.00305185
-10.09534758,0.16937770,-0.00305185
-10.09401358,0.16937770,-0.00305185
-10.09267958,0.16937770,-0.00305185
-10.09134558,0.16937770,-0.00305185
-10.09001158,0.16937770,-0.00305185
-10.08867758,0.16937770,-0.00305185
-10.08734358,0.16937770,-0.00305185
-10.08600958,0.16937770,-0.00305185
-10.08467558,0.16937770,-0.00305185
-10.08334158,0.16937770,-0.00305185
-10.08200758,0.16937770,-0.00305185
-10.08067358,0.16937770,-0.00305185
-10.07933958,0.16937770,-0.00305185
-10.07800558,0.16937770,-0.00305185
-10.07667158,0.16937770,-0.00305185
-10.07533758,0.16937770,-0.00305185
-10.07400358,0.16937770,-0.00305185
-10.07266958,0.16937770,-0.00305185
-10.07133558,0.16937770,-0.00305185
-10.07000158,0.16937770,-0.00305185
-10.06866758,0.16937770,-0.00305185
-10.06733358,0.16937770,-0.00305185
-10.06599958,0.16937770,-0.00305185
-10.06466558,0.16937770,-0.00305185
-10.06333158,0.16937770,-0.00305185
-10.06199758,0.16937770,-0.00305185
-10.06066358,0.16937770,-0.00305185
-10.05932958,0.16937770,-0.00305185
-10.05799558,0.16937770,-0.00305185
-10.05666158,0.16937770,-0.00305185
-10.05532758,0.16937770,-0.00305185
-10.05399358,0.16937770,-0.00305185
-10.05265958,0.16937770,-0.00305185
-10.05132558,0.16937770,-0.00305185
-10.04999158,0.16937770,-0.00305185
-10.04865758,0.16937770,-0.00305185
-10.04732358,0.16937770,-0.00305185
-10.04598958,0.16937770,-0.00305185
-10.04465558,0.16937770,-0.00305185
-10.04332158,0.16937770,-0.00305185
-10.04198758,0.16815700,-0.00305185
-10.04065358,0.16815700,-0.00305185
-10.03931958,0.16815700,-0.00305185
-10.03798558,0.16815700,-0.00305185
-10.03665158,0.16815700,-0.00305185
-10.03531758,0.16815700,-0.00305185
-10.03398358,0.16815700,-0.00305185
-10.03264958,0.16815700,-0.00305185
-10.03131558,0.16815700,-0.00305185
-10.02998158,0.16815700,-0.00305185
-10.02864758,0.16815700,-0.00305185
-10.02731358,0.16815700,-0.00305185
-10.02597958,0.16815700,-0.00305185
-10.02464558,0.16815700,-0.00305185
-10.02331158,0.16815700,-0.00305185
-10.02197758,0.16815700,-0.00305185
-10.02064358,0.16815700,-0.00305185
-10.01930958,0.16815700,-0.00305185
-10.01797558,0.16815700,-0.00305185
-10.01664158,0.16815700,-0.00305185
-10.01530758,0.16815700,-0.00305185
-10.01397358,0.16815700,-0.00305185
-10.01263958,0.16815700,-0.00305185
-10.01130558,0.16815700,-0.00305185
-10.00997158,0.16815700,-0.00305185
-10.00863758,0.16815700,-0.00305185
-10.00730358,0.16815700,-0.00305185
-10.00596958,0.16815700,-0.00305185
-10.00463558,0.16815700,-0.00305185
-10.00330158,0.16815700,-0.00305185
-10.00196758,0.16815700,-0.00305185
-10.00063358,0.16815700,-0.00305185
-9.99929958,0.16815700,-0.00305185
-9.99796558,0.16815700,-0.00305185
-9.99663158,0.16815700,-0.00305185
-9.99529758,0.16815700,0.01678518
-9.99396358,0.16815700,0.08697775
-9.99262958,0.16815700,0.21210360
-9.99129558,0.16815700,0.33722950
-9.98996158,0.16815700,0.46235540
-9.98862758,0.16815700,0.58595540
-9.98729358,0.16815700,0.70955540
-9.98595958,0.16815700,0.83468130
-9.98462558,0.16815700,0.95828120
-9.98329158,0.16815700,1.08035500
-9.98195758,0.16815700,1.20395500
-9.98062358,0.16815700,1.32450300
-9.97928958,0.16815700,1.32450300
-9.97795558,0.16815700,1.32450300
-9.97662158,0.16815700,1.32450300
-9.97528758,0.16815700,1.32450300
-9.97395358,0.16815700,1.32450300
-9.97261958,0.16815700,1.32450300
-9.97128558,0.16815700,1.32450300
-9.96995158,0.16815700,1.32450300
-9.96861758,0.16815700,1.32450300
-9.96728358,0.16815700,1.32450300
-9.96594958,0.16815700,1.32450300
-9.96461558,0.16815700,1.32450300
-9.96328158,0.16815700,1.32450300
-9.96194758,0.16815700,1.32450300
-9.96061358,0.16815700,1.32450300
-9.95927958,0.16815700,1.32450300
-9.95794558,0.16815700,1.32450300
-9.95661158,0.16815700,1.32450300
-9.95527758,0.16815700,1.32450300
-9.95394358,0.16815700,1.32450300
-9.95260958,0.16815700,1.32297700
-9.95127558,0.16815700,1.32297700
-9.94994158,0.16815700,1.32297700
-9.94860758,0.16815700,1.32297700
-9.94727358,0.16815700,1.32297700
-9.94593958,0.16815700,1.32297700
-9.94460558,0.16815700,1.32297700
-9.94327158,0.16815700,1.32297700
-9.94193758,0.16815700,1.32297700
-9.94060358,0.16815700,1.32297700
-9.93926958,0.16815700,1.32297700
