t[s],U_A,U_B
-9.94193758,0.21637620,1.17648900
-9.94060358,0.21637620,1.18106600
-9.93926958,0.21759700,1.18411800
-9.93793558,0.21759700,1.18717000
-9.93660158,0.21759700,1.19174800
-9.93526758,0.21912290,1.19480000
-9.93393358,0.21912290,1.19785200
-9.93259958,0.22064880,1.20090300
-9.93126558,0.22186960,1.20548100
-9.92993158,0.22339550,1.20853300
-9.92859758,0.22339550,1.21158500
-9.92726358,0.22492140,1.21616300
-9.92592958,0.22492140,1.21921400
-9.92459558,0.22614220,1.22226600
-9.92326158,0.22614220,1.22684400
-9.92192758,0.22766810,1.22989600
-9.92059358,0.22766810,1.23294800
-9.91925958,0.22766810,1.23600000
-9.91792558,0.22766810,1.24057700
-9.91659158,0.22766810,1.24362900
-9.91525758,0.22919400,1.24668100
-9.91392358,0.22919400,1.25125900
-9.91258958,0.23041470,1.25431100
-9.91125558,0.23194070,1.25736300
-9.90992158,0.23346660,1.26194000
-9.90858758,0.23346660,1.26499200
-9.90725358,0.23346660,1.26804400
-9.90591958,0.23468730,1.27109600
-9.90458558,0.23621330,1.27567400
-9.90325158,0.23773920,1.27872600
-9.90191758,0.23773920,1.28177800
-9.90058358,0.23773920,1.28635500
-9.89924958,0.23773920,1.28940700
-9.89791558,0.23895990,1.29245900
-9.89658158,0.23895990,1.29703700
-9.89524758,0.23895990,1.30008800
-9.89391358,0.23895990,1.30314000
-9.89257958,0.24048590,1.30619200
-9.89124558,0.24201180,1.31077000
-9.88991158,0.24323250,1.31382200
-9.88857758,0.24475840,1.31687400
-9.88724358,0.24628440,1.32145200
-9.88590958,0.24628440,1.32450300
-9.88457558,0.24628440,1.32755500
-9.88324158,0.24628440,1.33213300
-9.88190758,0.24628440,1.33518500
-9.88057358,0.24628440,1.33823700
-9.87923958,0.24628440,1.34281400
-9.87790558,0.24628440,1.34586600
-9.87657158,0.24750510,1.34891800
-9.87523758,0.24903100,1.35197000
-9.87390358,0.24903100,1.35654800
-9.87256958,0.24750510,1.35960000
-9.87123558,0.24750510,1.36265100
-9.86990158,0.24903100,1.36722900
-9.86856758,0.24903100,1.37028100
-9.86723358,0.24903100,1.37333300
-9.86589958,0.24903100,1.37791100
-9.86456558,0.24903100,1.38096300
-9.86323158,0.24903100,1.38401400
-9.86189758,0.25055700,1.38706600
-9.86056358,0.25055700,1.39164400
-9.85922958,0.25177770,1.39469600
-9.85789558,0.25177770,1.39774800
-9.85656158,0.25177770,1.40232600
-9.85522758,0.25177770,1.40537700
-9.85389358,0.25177770,1.40842900
-9.85255958,0.25330360,1.41300700
-9.85122558,0.25330360,1.41758500
-9.84989158,0.25330360,1.42063700
-9.84855758,0.25330360,1.42521400
-9.84722358,0.25330360,1.42826600
-9.84588958,0.25330360,1.43131800
-9.84455558,0.25330360,1.43437000
-9.84322158,0.25330360,1.43894800
-9.84188758,0.25330360,1.44200000
-9.84055358,0.25330360,1.44505100
-9.83921958,0.25330360,1.44962900
-9.83788558,0.25482960,1.45268100
-9.83655158,0.25482960,1.45573300
-9.83521758,0.25482960,1.46031100
-9.83388358,0.25482960,1.46336300
-9.83254958,0.25482960,1.46641400
-9.83121558,0.25482960,1.46946600
-9.82988158,0.25482960,1.47557000
-9.82854758,0.25482960,1.47709600
-9.82721358,0.25482960,1.48014800
-9.82587958,0.25482960,1.48472500
-9.82454558,0.25482960,1.48930300
-9.82321158,0.25605030,1.49540700
-9.82187758,0.25757620,1.49998500
-9.82054358,0.25757620,1.50303700
-9.81920958,0.25757620,1.50761400
-9.81787558,0.25757620,1.51219200
-9.81654158,0.25757620,1.51524400
-9.81520758,0.25757620,1.51982200
-9.81387358,0.25757620,1.52287400
-9.81253958,0.25757620,1.52745100
-9.81120558,0.25757620,1.53355500
-9.80987158,0.25757620,1.53660700
-9.80853758,0.25757620,1.54271100
-9.80720358,0.25757620,1.54423700
-9.80586958,0.25757620,1.54728800
