t[s],U_A,U_B
-10.00366688,3.78795700,9.12350800
-10.00233288,3.75652300,9.06857500
-10.00099888,3.71959600,9.01211500
-9.99966488,3.67412300,8.95718300
-9.99833088,3.61735900,8.89461900
-9.99699688,3.55052300,8.83205600
-9.99566288,3.48368800,8.76796800
-9.99432888,3.42082000,8.75728600
-9.99299488,3.35978300,8.80764200
-9.99166088,3.29874600,8.85647100
-9.99032688,3.18063900,8.90377500
-9.98899288,3.09244100,8.94650100
-9.98765888,2.93740700,8.98770100
-9.98632488,2.78237200,9.02737500
-9.98499088,2.62733800,9.06247100
-9.98365688,2.47230400,9.09909300
-9.98232288,2.31727100,9.13113800
-9.98098888,2.16223600,9.16165600
-9.97965488,2.00720200,9.18912300
-9.97832088,1.85216800,9.21353800
-9.97698688,1.69682900,9.23490100
-9.97565288,1.54179500,9.25321200
-9.97431888,1.38676100,9.27304900
-9.97298488,1.23172700,9.28678200
-9.97165088,1.07669300,9.30051600
-9.97031688,0.92165900,9.31119700
-9.96898288,0.76662500,9.31882700
-9.96764888,0.61159090,9.32493000
-9.96631488,0.45655690,9.32798300
-9.96498088,0.30152290,9.32798300
-9.96364688,0.14648880,9.32340400
-9.96231288,0.03692740,9.44547800
-9.96097888,0.03967406,9.44242700
-9.95964488,0.04119999,9.43632300
-9.95831088,0.04272591,9.42869400
-9.95697688,0.04394665,9.41953800
-9.95564288,0.04547258,9.40580500
-9.95430888,0.04821924,9.39054600
-9.95297488,0.04974517,9.37376000
-9.95164088,0.05249184,9.35392300
-9.95030688,0.05401776,9.33103500
-9.94897288,0.05554369,9.30509400
-9.94763888,0.05676443,9.27610100
-9.94630488,0.05829035,9.24710800
-9.94497088,0.05981628,9.21506400
-9.94363688,0.06103702,9.17996800
-9.94230288,0.06256294,9.14334500
-9.94096888,0.06408887,9.10214500
-9.93963488,0.06530961,9.06094600
-9.93830088,0.06683554,9.01669400
-9.93696688,0.06836146,8.96939000
-9.93563288,0.06958220,8.91903500
-9.93429888,0.07263406,8.86715300
-9.93296488,0.07385480,8.81222000
-9.93163088,0.07690664,8.75576000
-9.93029688,0.07965331,8.69624900
-9.92896288,0.07965331,8.63521200
-9.92762888,0.08117924,8.57112300
-9.92629488,0.08239998,8.50703400
-9.92496088,0.08392590,8.43836800
-9.92362688,0.08545183,8.36817600
