t[s],U_A,U_B
-9.94230093,0.21637620,0.82094790
-9.94096693,0.21759700,0.82399980
-9.93963293,0.21912290,0.82857750
-9.93829893,0.22064880,0.83162940
-9.93696493,0.22186960,0.83620720
-9.93563093,0.22339550,0.84078490
-9.93429693,0.22186960,0.84536270
-9.93296293,0.22339550,0.84841460
-9.93162893,0.22492140,0.85299230
-9.93029493,0.22492140,0.85604420
-9.92896093,0.22614220,0.85909610
-9.92762693,0.22614220,0.86519970
-9.92629293,0.22614220,0.86825160
-9.92495893,0.22614220,0.87130340
-9.92362493,0.22766810,0.87740710
-9.92229093,0.22766810,0.88045900
-9.92095693,0.22919400,0.88351080
-9.91962293,0.22919400,0.88808860
-9.91828893,0.22919400,0.89114050
-9.91695493,0.23041470,0.89419230
-9.91562093,0.23194070,0.89877010
-9.91428693,0.23346660,0.90182190
-9.91295293,0.23468730,0.90487380
-9.91161893,0.23621330,0.90945160
-9.91028493,0.23621330,0.91250350
-9.90895093,0.23468730,0.91555530
-9.90761693,0.23468730,0.91860710
-9.90628293,0.23468730,0.92318490
-9.90494893,0.23468730,0.92623670
-9.90361493,0.23468730,0.92928860
-9.90228093,0.23621330,0.93386640
-9.90094693,0.23621330,0.93691830
-9.89961293,0.23621330,0.93997010
-9.89827893,0.23773920,0.94454790
-9.89694493,0.23895990,0.94759970
-9.89561093,0.24048590,0.95065150
-9.89427693,0.24201180,0.95370350
-9.89294293,0.24323250,0.95828120
-9.89160893,0.24323250,0.96133300
-9.89027493,0.24323250,0.96438490
-9.88894093,0.24323250,0.96896270
-9.88760693,0.24323250,0.97201450
-9.88627293,0.24323250,0.97506640
-9.88493893,0.24323250,0.97811820
-9.88360493,0.24475840,0.98269610
-9.88227093,0.24475840,0.98574790
-9.88093693,0.24475840,0.98727380
-9.87960293,0.24628440,0.99185160
-9.87826893,0.24628440,0.99642930
-9.87693493,0.24628440,0.99948110
-9.87560093,0.24628440,1.00405900
-9.87426693,0.24750510,1.00711100
-9.87293293,0.24903100,1.01016300
-9.87159893,0.24903100,1.01321400
-9.87026493,0.24903100,1.01931800
-9.86893093,0.24903100,1.02237000
-9.86759693,0.24903100,1.02542200
-9.86626293,0.24903100,1.03152600
-9.86492893,0.24903100,1.03305100
-9.86359493,0.24903100,1.03915500
-9.86226093,0.24903100,1.04373300
-9.86092693,0.25055700,1.04678500
-9.85959293,0.25177770,1.05136300
-9.85825893,0.25177770,1.05441500
-9.85692493,0.25177770,1.05746600
-9.85559093,0.25177770,1.06357000
-9.85425693,0.25177770,1.06509600
-9.85292293,0.25177770,1.06814800
-9.85158893,0.25177770,1.07120000
-9.85025493,0.25177770,1.07577800
-9.84892093,0.25330360,1.07882900
-9.84758693,0.25330360,1.08188100
-9.84625293,0.25330360,1.08798500
-9.84491893,0.25330360,1.09256300
-9.84358493,0.25330360,1.09561500
-9.84225093,0.25330360,1.10171800
-9.84091693,0.25330360,1.10477000
-9.83958293,0.25177770,1.10934800
-9.83824893,0.25177770,1.11240000
-9.83691493,0.25330360,1.11545200
-9.83558093,0.25330360,1.11850300
-9.83424693,0.25330360,1.12308100
-9.83291293,0.25330360,1.12765900
-9.83157893,0.25330360,1.13376300
-9.83024493,0.25330360,1.13528900
-9.82891093,0.25330360,1.13834000
-9.82757693,0.25330360,1.14139200
-9.82624293,0.25330360,1.14444400
-9.82490893,0.25330360,1.14902200
-9.82357493,0.25482960,1.15207400
-9.82224093,0.25482960,1.15817700
-9.82090693,0.25482960,1.16122900
-9.81957293,0.25482960,1.16428100
-9.81823893,0.25482960,1.16885900
-9.81690493,0.25482960,1.17191100
-9.81557093,0.25482960,1.17496300
-9.81423693,0.25605030,1.17954000
-9.81290293,0.25605030,1.18259200
-9.81156893,0.25605030,1.18564400
-9.81023493,0.25605030,1.18869600
-9.80890093,0.25605030,1.19327400
-9.80756693,0.25605030,1.19632600
-9.80623293,0.25605030,1.19937700
-9.80489893,0.25605030,1.20395500
-9.80356493,0.25605030,1.20700700
-9.80223093,0.25605030,1.21005900
-9.80089693,0.25605030,1.21463700
-9.79956293,0.25605030,1.21768900
-9.79822893,0.25605030,1.22074000
-9.79689493,0.25605030,1.22379200
-9.79556093,0.25757620,1.22837000
-9.79422693,0.25757620,1.23142200
-9.79289293,0.25757620,1.23447400
-9.79155893,0.25757620,1.23905200
-9.79022493,0.25757620,1.24210300
-9.78889093,0.25757620,1.24515500
-9.78755693,0.25757620,1.24973300
-9.78622293,0.25757620,1.25278500
-9.78488893,0.25757620,1.25583700
-9.78355493,0.25757620,1.25888800
-9.78222093,0.25757620,1.26346600
-9.78088693,0.25757620,1.26651800
-9.77955293,0.25757620,1.26957000
-9.77821893,0.25757620,1.27414800
-9.77688493,0.25757620,1.27720000
-9.77555093,0.25757620,1.28025200
-9.77421693,0.25757620,1.28482900
-9.77288293,0.25757620,1.28788100
-9.77154893,0.25757620,1.29093300
-9.77021493,0.25757620,1.29398500
-9.76888093,0.25757620,1.29856300
-9.76754693,0.25757620,1.30161500
-9.76621293,0.25757620,1.30466600
-9.76487893,0.25757620,1.30924400
-9.76354493,0.25757620,1.31229600
-9.76221093,0.25757620,1.31534800
-9.76087693,0.25757620,1.31992600
-9.75954293,0.25757620,1.32297700
-9.75820893,0.25757620,1.32602900
-9.75687493,0.25757620,1.32908100
-9.75554093,0.25757620,1.33365900
-9.75420693,0.25910210,1.33671100
-9.75287293,0.25910210,1.33976200
-9.75153893,0.26032290,1.34434000
