I[A]
# Fehler 1 auf ordnung
# Fehler 0.02 auf I[A]
-0.425
-0.365
-0.252
-0.155
-0.044
0.0
0.108
0.126
0.199
0.206
0.292
0.35
0.387
0.405
0.48
0.568
